resource,technology,location,contract,period,planned_installed_capacity,energy,capacity factor,,,,Capacity,,,,,,,Energy,,,
Riverside_East_Palm_Springs_Wind,Wind,CAISO,CAISO,2030,227.64,693.6350653,0.347839066,,,Wind,0.27677422,0.234815016,0.257224716,0.232206638,,,Wind,0.228881353,0.198826914,0.197510569,0.16449277
Contracted_InState_Wind,Wind,CAISO,CAISO,2025,6518.4452,15583.04144,0.272900355,,,Biomass,0.311032911,0.256715414,0.10305003,0.110114475,,,Biomass,0.400500084,0.417249983,0.340175519,0.340161745
Contracted_InState_Wind,Wind,CAISO,CAISO,2016,6551.5102,14919.71039,0.25996499,,,Solar,0.061566751,0.05697987,0.040109868,0.031544832,,,Solar,0.028585992,0.018698328,0.014115251,0.009752132
Greater_Imperial_Wind,Wind,CAISO,CAISO,2025,384.148,1195.188871,0.355168023,,,,,,,,,,,,,,
Contracted_InState_Biomass,Biomass,CAISO,CAISO,2030,1141.958,8164.130261,0.816123133,,,,,,,,,,,,,,
Contracted_SW_Geothermal,Geothermal,SW,CAISO,2016,135,807.487051,0.682806571,,,,,,,,,,,,,,
Contracted_SW_Solar,Solar,SW,CAISO,2020,1625.0686,3376.357418,0.237177021,,,,,,,,,,,,,,
Riverside_East_Palm_Springs_Wind,Wind,CAISO,CAISO,2020,158.76,498.9939062,0.358798026,,,,,,,,,,,,,,
Contracted_SW_Wind,Wind,SW,CAISO,2020,272.412,1150.212,0.482000572,,,,,,,,,,,,,,
Contracted_InState_Solar,Solar,CAISO,CAISO,2020,9845.983328,23080.15034,0.267593421,,,,,,,,,,,,,,
Distributed_Wind,Wind,CAISO,CAISO,2020,10.5,35.09607276,0.381562,,,,,,,,,,,,,,
Solano_Wind,Wind,CAISO,CAISO,2030,1039.92,2621.85224,0.287808871,,,,,,,,,,,,,,
Greater_Imperial_Wind,Wind,CAISO,CAISO,2030,384.148,1195.188871,0.355168023,,,,,,,,,,,,,,
Mountain_Pass_El_Dorado_Solar,Solar,CAISO,CAISO,2030,242.76,704.6932765,0.331374353,,,,,,,,,,,,,,
Contracted_InState_Geothermal,Geothermal,CAISO,CAISO,2020,1773.80555,12468.82164,0.80244504,,,,,,,,,,,,,,
Contracted_SW_Geothermal,Geothermal,SW,CAISO,2030,129,711.687051,0.629789256,,,,,,,,,,,,,,
Westlands_Solar,Solar,CAISO,CAISO,2030,1209.51512,3213.353756,0.303279553,,,,,,,,,,,,,,
Riverside_East_Palm_Springs_Solar,Solar,CAISO,CAISO,2025,186.8,561.6247766,0.343214226,,,,,,,,,,,,,,
Contracted_InState_Wind,Wind,CAISO,CAISO,2020,6490.6652,15583.67677,0.274079541,,,,,,,,,,,,,,
Contracted_InState_Geothermal,Geothermal,CAISO,CAISO,2025,1693.40555,12472.73282,0.840807417,,,,,,,,,,,,,,
Contracted_InState_Biomass,Biomass,CAISO,CAISO,2016,1148.218,8253.950854,0.820603607,,,,,,,,,,,,,,
Tehachapi_Solar,Solar,CAISO,CAISO,2020,203.9091524,631.8262332,0.353717729,,,,,,,,,,,,,,
Riverside_East_Palm_Springs_Wind,Wind,CAISO,CAISO,2025,158.76,498.9939062,0.358798026,,,,,,,,,,,,,,
Contracted_NW_Biomass,Biomass,NW,CAISO,2030,80.5996,481.5721999,0.682062882,,,,,,,,,,,,,,
Contracted_SW_Solar,Solar,SW,CAISO,2025,1625.0686,3259.827783,0.228991231,,,,,,,,,,,,,,
Contracted_NW_Wind,Wind,NW,CAISO,2030,3770.26863,8123.609673,0.245964623,,,,,,,,,,,,,,
Contracted_SW_Wind,Wind,SW,CAISO,2025,272.412,1150.212,0.482000572,,,,,,,,,,,,,,
Contracted_NW_Wind,Wind,NW,CAISO,2016,3619.56863,9463.379628,0.298459454,,,,,,,,,,,,,,
Contracted_InState_Solar,Solar,CAISO,CAISO,2025,9765.910328,22592.8604,0.264091474,,,,,,,,,,,,,,
Contracted_SW_Solar,Solar,SW,CAISO,2030,1625.0686,3150.313484,0.221298244,,,,,,,,,,,,,,
Contracted_InState_Solar,Solar,CAISO,CAISO,2016,8232.634008,16284.91392,0.225809678,,,,,,,,,,,,,,
