Index,Category,Project ID,Project Name,State,County,Electrical Area (CREZ),Latitude,Longitude,LCR Area,Technology,Subtechnology,Type,Contract Start Date,Contract End Date,Eligible for Recontr?,Product Content Category,CAISO,Bundled,Deliverability Type,PG&E,SCE,SDG&E,Other CAISO,NonCAISO,Contract Capacity,Annual Energy,Capacity Factor,Technology Index,ELCC Profile,Energy Value Profile,Losses,Degradation,Risk Adjustment,Unit Cost
1464,3,SC44150,Water Facilities Authority,CA,San Bernardino,San Bernardino - Lucerne,34.0936,-117.655702,0,Hydro,Small,Existing,8/26/2024,8/25/2044,1,1,1,1,1,0.454903068,0,0,0.545096932,0,0.224,0.05,0.025481083,5,Baseload,Baseload,0,0,1,843.0041059
1465,3,SC44152,Calleguas MWD (Springville Hydro),CA,Ventura,Ventura County (Partial),34.2253,-119.085833,0,Hydro,Small,Existing,3/17/2024,3/16/2044,1,1,1,1,1,0.454903068,0,0,0.545096932,0,1,1.139999997,0.130136986,5,Baseload,Baseload,0,0,1,165.8804963
1466,3,SD1028,Sycamore Energy 2 LLC,CA,San Diego,San Diego South,32.85,-117.029,0,Biogas,Distributed,Existing,3/30/2024,3/29/2044,1,1,1,1,1,0.454903068,0,0,0.545096932,0,2.25,13.4,0.67985794,1,Baseload,Baseload,0,0,1,83.24884381
1467,3,SD7029,Oak Creek Wind - Zephyr,CA,Kern,Tehachapi,35.0153,-118.211,0,Wind,,Existing,1/26/2024,1/25/2049,1,1,1,1,1,0.454903068,0,0,0.545096932,0,3.5,6.799999998,0.221787345,18,Wind - Inland,Wind - Inland,0,0,1,83.80508281
1468,3,CAISO_LSE_Contract_049,Ameresco San Joaquin LLC [E0253],CA,0,n/a,n/a,n/a,0,Biogas,Distributed,Existing,5/1/2024,4/30/2044,1,1,1,1,1,0.454903068,0,0,0.545096932,0,4.34,20.615,0.542237443,1,Baseload,Baseload,0,0,1,112.3444577
1469,3,NonCAISO_LSE_Contract_054,Sepulveda Canyon [H0472],CA,0,n/a,n/a,n/a,0,Hydro,Small,Existing,1/2/2024,1/1/2044,1,1,1,1,1,0,0,0,0,1,8.54,30.58836451,0.408878505,5,Baseload,Baseload,0,0,1,0
1470,3,NonCAISO_LSE_Contract_114,Santa Cruz Energy LLC [E0132],CA,0,n/a,n/a,n/a,0,Biogas,Distributed,Existing,10/1/2024,9/30/2044,1,1,1,1,1,0,0,0,0,1,1.6,10.58999999,0.755565068,1,Baseload,Baseload,0,0,1,0
1471,3,CAISO_LSE_Contract_118,Ostrom Road aka G2 Energy Project [E0237],CA,0,n/a,n/a,n/a,0,Biogas,Distributed,Existing,1/10/2024,1/9/2044,1,1,1,1,1,0.454903068,0,0,0.545096932,0,3.2,15.08685601,0.538201199,1,Baseload,Baseload,0,0,1,113.6035804
1472,4,BV_CA_557,CA_SolarPV_T20+_Kern_4,CA,Kern,Tehachapi,n/a,n/a,0,Solar PV,Tracking - 20MW+,New,1/1/2024,12/31/2048,1,1,1,1,1,0.532552933,0,0,0.467447067,0,79.90652726,247.595753,0.353717729,17,Solar PV - Utility,Solar PV - Tracking,0.003131662,0.007,0.84,81.47128633
1473,4,BV_CA_183,CA Wind 58 Dist,CA,0,Distributed,38.093726,-122.11866,0,Wind,Distributed,New,1/1/2025,12/31/2049,1,1,1,1,1,0.328527268,0,0,0.671472732,0,3.82,10.81329845,0.32314,19,Wind - Inland,Wind - Inland,0,0,0.84,107.8648379
1474,4,BV_CA_118,CA Wind 157,CA,Kern,Tehachapi,34.8554,-118.3955,0,Wind,,New,1/1/2025,12/31/2049,1,1,1,1,1,0.328527268,0,0,0.671472732,0,138,337.3222486,0.279037,18,Wind - Inland,Wind - Inland,0.003131662,0,0.84,108.2633983
1475,4,BV_CA_122,CA Wind 170,CA,Ventura,Tehachapi,34.331,-118.7316,0,Wind,,New,1/1/2025,12/31/2049,1,1,1,1,1,0.328527268,0,0,0.671472732,0,43,107.2479529,0.284719,18,Wind - Inland,Wind - Inland,0.003131662,0,0.84,108.6630583
1476,4,BV_CA_127,CA Wind 178,CA,Riverside,Palm Springs,33.8701,-116.36,0,Wind,,New,1/1/2025,12/31/2049,1,1,1,1,1,0.328527268,0,0,0.671472732,0,140.3809524,343.4840301,0.279315,18,Wind - Inland,Wind - Inland,0.011355491,0,0.84,108.9486621
1477,4,BV_CA_557,CA_SolarPV_T20+_Kern_4,CA,Kern,Tehachapi,n/a,n/a,0,Solar PV,Tracking - 20MW+,New,1/1/2025,12/31/2049,1,1,1,1,1,0.328527268,0,0,0.671472732,0,155.8664032,482.9625412,0.353717729,17,Solar PV - Utility,Solar PV - Tracking,0.003131662,0.007,0.84,86.50166293
1478,3,CAISO_LSE_Contract_012,Lewiston/Nimbus/Stampede [H0286/H0360/H0497],CA,0,n/a,n/a,n/a,0,Hydro,Small,Existing,1/1/2025,12/31/2044,1,1,1,1,1,0.328527268,0,0,0.671472732,0,0.189,0.748251695,0.451941059,5,Baseload,Baseload,0,0,1,83.82065745
1479,3,CAISO_LSE_Contract_030,Lewiston/Nimbus/Stampede [H0286/H0360/H0497],CA,0,n/a,n/a,n/a,0,Hydro,Small,Existing,1/1/2025,12/31/2044,1,1,1,1,1,0.328527268,0,0,0.671472732,0,0.04880575,0.193222144,0.451941059,5,Baseload,Baseload,0,0,1,83.82065745
